word,valence,arousal,dominance
scratchy,3.65,4.82,4.58
epidural,3.65,4.94,4.26
godless,3.65,4.76,5.16
racial,3.65,4.05,4.0
numbskull,3.65,4.0,4.28
strict,3.65,4.5,5.27
unclear,3.67,4.19,4.12
ruthless,3.67,6.0,4.04
tearful,3.67,4.92,3.42
ridiculous,3.67,5.65,3.78
susceptible,3.67,5.19,4.0
rid,3.67,4.38,5.06
estranged,3.67,3.95,4.48
poor,3.67,4.67,4.0
bureaucratic,3.67,3.5,3.64
adverse,3.68,3.89,3.35
smug,3.68,3.5,4.75
doormat,3.68,3.2,4.73
bacterial,3.68,5.0,3.6
displacement,3.68,3.86,4.85
tacky,3.68,4.05,4.58
gray,3.68,2.81,4.77
transsexual,3.68,4.23,4.78
inexcusable,3.68,3.59,3.82
apathy,3.68,3.8,5.15
forceful,3.7,5.36,5.53
fumble,3.7,5.0,4.67
inappropriate,3.7,4.95,4.35
puss,3.7,3.71,4.7
shady,3.71,4.29,4.96
pungent,3.71,4.52,4.37
celibate,3.72,3.0,6.1
deceptive,3.73,4.95,3.86
cardiac,3.73,4.9,3.95
stuffy,3.73,4.61,4.53
mousy,3.74,3.1,3.2
flawed,3.74,4.18,5.11
melancholy,3.74,4.13,3.96
ammonia,3.74,3.0,3.83
juvenile,3.74,3.85,4.12
stubborn,3.74,4.13,5.0
relinquish,3.74,4.5,4.42
inconsequential,3.74,3.15,4.4
contradictory,3.75,4.27,5.3
lumpy,3.75,3.94,4.12
expel,3.75,4.24,4.17
reluctant,3.76,3.6,5.16
pretentious,3.76,4.09,5.29
unattended,3.76,3.68,3.82
impractical,3.77,4.53,4.43
frigid,3.77,3.87,5.61
inquest,3.77,3.71,5.81
empty,3.78,2.25,3.61
difficult,3.78,4.45,3.78
spinal,3.78,4.35,4.72
nefarious,3.79,5.72,4.25
unrequited,3.79,4.23,3.74
superficial,3.79,4.2,4.62
ineffectual,3.79,3.5,4.21
splat,3.79,5.0,4.7
hazy,3.79,2.73,3.79
covert,3.79,4.32,4.96
numb,3.79,2.5,4.04
uncivilized,3.79,4.95,4.12
frantic,3.79,5.39,3.59
materialistic,3.79,4.04,4.6
inconclusive,3.79,4.05,4.2
menial,3.8,3.85,5.32
unspeakable,3.8,3.9,3.73
anxious,3.8,6.2,4.15
offensive,3.8,4.95,5.17
clammy,3.81,2.95,3.45
unconscious,3.81,4.55,2.81
incoherent,3.81,2.96,4.05
despondent,3.81,4.64,3.46
iffy,3.81,4.5,5.21
complicated,3.82,5.75,5.79
futile,3.82,4.71,3.23
paramilitary,3.82,4.05,4.79
inaccessible,3.82,4.05,3.41
negro,3.83,5.27,4.35
indiscreet,3.84,4.38,4.4
uncontrollable,3.84,5.81,2.18
listless,3.84,3.33,4.67
panicky,3.84,7.0,4.13
neurotic,3.84,4.98,4.15
hefty,3.85,4.05,4.88
hoarse,3.85,3.17,5.33
slouch,3.85,3.45,4.79
risky,3.85,5.91,4.42
insufferable,3.85,3.65,3.38
expendable,3.85,5.11,4.0
sleazy,3.85,5.64,4.6
unreasonable,3.85,5.0,5.11
hoax,3.85,5.05,5.26
impersonal,3.85,4.21,4.79
unlikely,3.85,3.82,4.81
confound,3.85,4.38,4.88
uncalled,3.86,3.3,3.65
awkwardness,3.86,4.65,4.13
artificial,3.86,4.17,4.55
cryptic,3.86,5.53,4.33
temperamental,3.86,5.7,4.61
foolhardy,3.86,5.05,4.71
fanatical,3.86,5.87,3.83
shallow,3.86,3.0,5.95
seedy,3.86,4.05,4.7
tiresome,3.86,2.52,4.73
doubtful,3.86,4.55,4.23
malady,3.86,4.48,4.37
brittle,3.86,4.42,4.5
dopey,3.86,2.91,4.2
resistant,3.86,4.0,4.75
charred,3.86,4.68,3.9
bland,3.88,2.43,5.77
neurological,3.89,4.55,4.32
mercenary,3.89,5.14,4.29
rebellious,3.89,6.45,5.46
overwhelming,3.89,4.86,2.61
prolong,3.89,3.29,4.45
testicular,3.89,4.95,4.14
gash,3.89,4.9,3.9
shameless,3.89,4.17,4.58
unaware,3.89,4.1,3.85
smuggle,3.89,5.09,4.23
recant,3.89,4.5,5.29
scrawny,3.89,4.26,3.61
tawdry,3.9,3.35,3.37
ant,3.9,3.27,5.3
wary,3.9,3.96,5.16
mandatory,3.9,3.89,3.54
deplorable,3.9,4.73,4.0
pessimistic,3.9,4.48,4.0
tubby,3.9,3.95,4.64
gastric,3.91,4.16,4.43
gritty,3.94,4.36,4.83
interfere,3.94,4.33,4.71
discontinue,3.94,3.89,4.41
unsuspecting,3.95,3.55,4.05
sour,3.95,4.95,4.34
eject,3.95,4.42,5.18
deactivate,3.95,4.58,6.19
ludicrous,3.95,4.78,4.79
sickle,3.95,3.5,4.32
arterial,3.95,3.39,4.12
critical,3.95,4.95,4.22
orthodox,3.95,3.14,4.75
separate,3.95,3.91,4.14
ominous,3.95,5.57,4.48
oedipal,3.95,3.5,4.54
spastic,3.95,5.05,3.38
jagged,3.95,6.05,4.48
liquidate,3.95,4.36,4.36
retrial,3.95,5.06,4.65
forlorn,3.95,4.08,3.73
bailiff,3.95,4.33,4.86
pious,3.95,3.0,4.25
surgical,3.95,5.0,3.75
fetal,3.95,4.36,4.17
liable,4.0,4.32,5.19
cuss,4.0,6.25,5.35
unthinkable,4.0,4.32,3.8
judicial,4.0,4.59,4.9
anal,4.0,4.29,4.45
abject,4.0,3.94,4.35
slow,4.0,2.89,5.39
anaphylactic,4.0,5.57,4.17
corporeal,4.0,3.5,4.42
circumstantial,4.0,4.5,5.05
incorrigible,4.0,4.78,4.12
droopy,4.0,3.18,4.42
puny,4.0,3.27,4.04
endless,4.0,4.23,3.25
flimsy,4.0,3.77,4.2
brig,4.0,3.29,3.5
unsolicited,4.0,3.73,4.22
unsolved,4.0,5.48,3.48
symptomatic,4.0,4.13,4.94
dispose,4.0,5.53,4.92
disposable,4.0,2.9,3.5
hesitate,4.0,3.96,4.59
faint,4.0,3.74,3.5
hive,4.0,4.28,5.71
renal,4.0,3.77,4.42
delete,4.0,3.71,5.39
unsuitable,4.0,4.0,4.47
remedial,4.05,3.4,4.5
runaway,4.05,3.95,4.41
quibble,4.05,3.7,4.59
sluggish,4.05,3.2,4.5
sloth,4.05,2.9,4.0
repetitive,4.05,3.91,4.89
thoughtless,4.05,4.43,4.45
stringy,4.05,4.27,4.84
irregular,4.05,4.86,4.93
pricey,4.05,4.45,3.54
involuntary,4.05,3.75,4.13
undue,4.05,3.53,4.24
paranormal,4.05,4.42,4.25
abominable,4.05,5.45,4.62
fart,4.05,4.74,3.69
inefficient,4.05,3.96,5.6
improbable,4.05,3.95,4.78
biochemical,4.05,4.21,4.21
incumbent,4.05,3.19,4.21
conspicuous,4.05,3.87,3.94
drunk,4.06,5.05,2.94
unholy,4.08,5.16,4.1
correctional,4.09,4.86,5.05
sacrilegious,4.09,4.11,3.71
stranger,4.09,5.8,4.84
sketchy,4.09,4.96,4.58
pisser,4.1,6.05,4.85
subversive,4.1,4.41,5.33
unaccounted,4.1,4.22,4.54
chunky,4.1,3.41,4.14
vacate,4.1,4.9,4.67
presumptuous,4.1,3.47,4.81
imperfect,4.1,5.05,4.48
soviet,4.1,3.43,4.83
inscrutable,4.1,4.33,4.96
prosthetic,4.1,3.42,5.05
inevitable,4.1,4.27,3.15
inept,4.1,4.2,4.23
primitive,4.1,3.62,3.38
absent,4.1,3.72,4.21
hormonal,4.1,5.41,3.52
castaway,4.1,3.35,4.05
commercial,4.11,4.43,4.35
unhand,4.11,3.78,4.68
armed,4.11,6.3,5.68
socialist,4.11,4.44,4.32
psychiatrist,4.11,4.25,4.1
pale,4.11,3.18,4.18
unauthorized,4.11,4.39,3.94
defiant,4.12,5.9,6.02
strenuous,4.14,5.14,4.65
unavoidable,4.14,4.32,3.78
explosive,4.14,6.62,3.32
rectory,4.14,3.91,5.05
oily,4.14,4.53,4.62
elicit,4.14,5.27,4.4
muddy,4.14,4.2,4.6
clumsy,4.14,4.12,4.0
runaround,4.14,5.14,4.04
infernal,4.14,6.3,4.61
thirst,4.14,4.12,6.0
foursome,4.14,5.17,5.29
unfamiliar,4.14,5.18,4.0
pesky,4.15,4.32,4.67
mistrial,4.15,3.29,4.3
penile,4.15,4.86,4.79
secretive,4.15,5.73,5.81
fiscal,4.15,4.05,5.23
arbitrary,4.15,4.55,4.77
gullible,4.16,4.06,3.59
unheard,4.16,3.18,3.54
rowdy,4.16,4.88,4.7
territorial,4.16,4.29,5.32
compulsory,4.16,3.72,4.06
mutate,4.16,5.88,4.04
rustle,4.16,3.88,5.62
turbulent,4.17,5.9,4.48
unfounded,4.18,3.96,4.57
charlatan,4.18,4.72,4.48
manic,4.19,4.55,3.63
lopsided,4.19,4.42,3.95
outrageous,4.19,5.35,4.56
notorious,4.19,4.68,5.23
fishy,4.2,3.11,3.59
habitual,4.2,3.33,5.32
ragged,4.2,5.2,4.96
transient,4.21,4.04,4.21
biased,4.21,5.52,4.57
complex,4.21,4.6,5.25
ruffian,4.21,5.38,4.39
unlisted,4.21,3.73,5.0
urgent,4.21,5.71,5.35
bulky,4.21,3.95,5.24
unwritten,4.21,3.24,5.1
electoral,4.21,3.86,4.96
naive,4.22,3.86,5.0
transvestite,4.22,5.05,4.5
devilish,4.22,6.38,5.43
turban,4.23,4.13,5.21
unimaginable,4.23,4.65,4.46
mole,4.23,3.81,5.32
huffy,4.24,3.77,5.0
inactive,4.24,3.05,5.04
unfinished,4.24,3.36,5.0
sarcastic,4.24,5.19,5.35
exhaustive,4.24,4.5,4.54
intensive,4.25,4.38,5.9
hasty,4.25,5.35,4.81
flammable,4.25,5.95,4.54
guise,4.25,3.86,4.28
